"Gene","DN1_ZT3_1","DN1_ZT7_1","DN1_ZT11_1","DN1_ZT15_1","DN1_ZT19_1","DN1_ZT23_1","DN1_ZT3_2","DN1_ZT7_2","DN1_ZT11_2","DN1_ZT15_2","DN1_ZT19_2","DN1_ZT23_2"
"FBtr0086512",0.400682621796417,0.616952772690482,1,0.486109568685371,0.462356460886749,0.379541307364473,0.0911764968806575,0.410229152357305,0.69986637638392,1,0.707206765380134,0.575212931427469
"FBtr0086565",0,1,0,0,0,0,0,0,0,0,0,1
"FBtr0087138",1,0,0,0,0.398781840545784,0.890402551832845,0,0,0,0,1,0
"FBtr0087274",0.198981738348193,1,0,0,0.198375759633729,0,0,0,0.464266449614001,0.6219041394187,1,0.572363684963053
"FBtr0087482",0.906508910305369,0.0828316222593703,1,0,0,0,0,1,0,0,0,0
"FBtr0087537",1,0.652713409072836,0.431612042809182,0.831628223007603,0.736773766374222,0.806248652116936,0.0860478092339237,0.839512274681991,0.826589164393578,0.142804260222399,0.393800010934263,1
"FBtr0087540",0,1,0,0,0.793503038534918,0,0,0.615461214468864,1,0.46883949718425,0.149578856068927,0.770521547269523
"FBtr0088067",0,0,0,0,0.244291042430954,1,0.994652693243536,0,0,1,0.121815519395621,0
"FBtr0088068",0,0,0,0,0.199051960499296,1,0.994652693243536,0,0.678658304372286,1,0.121815519395621,0
"FBtr0088665",0,0,0,0,1,0,0,0,0,0,0.323544609922517,1
"FBtr0089526",0.458039073721327,0.364469895284081,0,1,0.304429441434128,0.441825756754007,0.158509122273017,0.0950903870999019,0.540759266425705,0,0.808861524806292,1
"FBtr0100388",0.32444434388594,0.507273889342756,0,1,0.258765025219008,0.128393809655011,0,1,0,0.217648389376159,0.291642467572249,0.751165008441165
"FBtr0100408",0,0.415042273098618,0,1,0.11762046600864,0.23636133141036,0.951054733638104,0.427906741949558,0,0.0543277076933039,0.19412676595351,1
"FBtr0100853",0,0,0,1,0,0,0,0,0,0,0,1
"FBtr0110892",0,0,0,0,1,0,0,0,0,0,0.323544609922517,1
